timestamp,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,air_quality_level
1/1/2024 0:00,72.41785383,99.23405307,44.94321903,4.442710215,0.12853063,23.52129026,24.90063182,39.58368516,4.466686188,Moderate
1/1/2024 1:00,56.54339247,38.69494822,52.60210786,11.23252389,0.163789954,25.61781097,24.46367617,59.54668254,2.371611444,Good
1/1/2024 2:00,76.19221345,49.55443734,37.71532338,12.49110874,0.617940447,80.99624192,31.10141448,26.16995704,3.741500161,Good
1/1/2024 3:00,98.07574641,112.2979228,15.54752078,15.70074519,0.937305976,40.01365638,19.61660436,48.95658665,4.632282659,Moderate
1/1/2024 4:00,54.14616563,95.12596314,40.99531928,17.90270343,0.1,55.64260003,21.1874038,72.51125831,2.336182077,Good
1/1/2024 5:00,54.14657608,84.48049991,25.22964659,4.924529041,0.650080947,24.18201237,30.18151446,68.53805974,1.36074817,Very Unhealthy
1/1/2024 6:00,99.48032039,90.55301799,27.07074977,5.945712444,0.642125643,24.40294108,22.02232532,89.3449916,2.827030689,Good
1/1/2024 7:00,79.18586823,100.4274512,43.79546028,3.712110705,1.216501333,61.63969618,29.50266539,39.45237882,4.586376592,Moderate
1/1/2024 8:00,48.26314035,73.80720959,53.57424607,8.829900704,0.684493456,13.00847577,33.49717992,54.87325094,4.119684864,Moderate
1/1/2024 9:00,73.56400109,66.65085824,35.31907365,12.33179187,0.914896695,31.69572464,22.99102487,43.06712896,0.796234295,Moderate
1/1/2024 10:00,48.41455768,95.87535765,39.63249519,14.93667258,0.842377142,40.68054822,28.40681163,50.84221798,3.6165776,Good
1/1/2024 11:00,48.35675616,60.64881667,60.53322417,9.620244882,0.160830056,42.22745204,19.23153859,79.98650909,3.073538851,Very Unhealthy
1/1/2024 12:00,66.04905679,102.2475827,38.61129769,8.400762384,1.030462165,36.4181343,28.77366649,67.89463526,4.583584294,Moderate
1/1/2024 13:00,12.16799388,38.92249187,74.02524671,10.75878996,0.864618952,47.91639562,25.99711993,81.77088339,1.051166376,Moderate
1/1/2024 14:00,16.87705419,120.8746691,43.48264468,5.824285492,0.952480592,53.85711512,27.36519141,34.24577758,2.903162509,Good
1/1/2024 15:00,45.94281177,104.1779245,8.588558613,20.44769361,1.977871312,54.69275091,21.77213964,81.13527825,4.457582121,Moderate
